player,school,gp,mpg,bpm,class,birthdate,pick
Isaac Asuma,Minnesota,32,24.6969,1.81605,Fr,2005-10-15,
Ty Robinson,Central Arkansas,2,15.7000,-13.3606,Fr,2005-10-15,
Connor Mancell,Central Arkansas,8,4.0111,-17.2141,Fr,2005-10-15,
Parker Robison,Chattanooga,22,3.8417,-0.68249,Fr,2005-10-15,
Jack Sawyer,Abilene Christian,18,4.7789,-3.97444,Fr,2005-10-15,
Justin Redmond,Northwestern St.,19,11.0150,-3.90153,Fr,2005-10-15,
Liam McNeeley,Connecticut,27,32.1185,0.927904,Fr,2005-10-10,29
Juke Harris,Wake Forest,31,18.9710,-0.794697,Fr,2005-07-22,
Adam Njie Jr.,Iona,33,29.3364,-2.38657,Fr,2005-07-07,
JoJo Wallace,Iona,12,6.6083,-19.4275,Fr,2005-10-15,
Josh Michigan,Iona,8,5.6125,-1.45913,Fr,2005-10-15,
Yaphet Moundi,Iona,32,20.6375,0.879328,Jr,2001-10-17,
Kernan Bundy,Iona,31,15.1903,-0.374994,Jr,2003-10-15,
Patrick Antonelli,Louisville,9,1.1111,-17.9631,Sr,2002-10-15,
Jeremiah Wilkinson,California,32,27.3437,-0.227223,Fr,2006-03-28,
Ivan Njegovan,Ohio St.,21,5.6667,3.92341,Fr,2004-09-18,
Nick Anderson,Prairie View A&M,11,31.5583,-3.19824,Jr,2003-10-15,
Addison Arnold,Arizona,11,1.3455,-10.1136,So,2004-10-15,
Tyler Betsey,Cincinnati,34,11.1941,-0.950989,Fr,2005-08-02,
Chris Torres,Siena,4,2.2500,-25.0034,Fr,2005-10-15,
V.J. Edgecombe,Baylor,32,32.7273,9.88066,Fr,2005-07-30,3
Maximo Milovich,UC San Diego,31,13.3061,0.458364,Sr,2001-04-17,
Me'Kell Burries,Austin Peay,17,6.7526,-5.63215,Sr,2002-10-15,
Matej Bosnjak,Wichita St.,33,14.0441,-0.749433,Sr,2002-01-08,
Raleigh Burgess,Purdue,31,6.3548,5.36587,Fr,2005-09-17,
C.J. Cox,Purdue,36,18.5722,6.46014,Fr,2004-11-26,
Julius Thedford,Western Kentucky,16,21.9389,-1.46485,Fr,2005-10-15,
Cal Liston,VMI,18,11.1091,-9.04477,Fr,2005-10-15,
Linus Holmstrom,VMI,29,21.2303,-5.75135,Fr,2005-05-10,
Ryan Skerry,Towson,3,3.9750,-21.2438,So,2004-10-15,
Caleb Embeya,Towson,32,16.1970,1.11601,Fr,2005-10-15,
Mandela Tarke,Towson,3,3.1000,7.78755,Fr,2005-10-15,
Jaylen Pazon,VMI,17,9.9529,-7.26552,Fr,2005-10-15,
Bryson Tucker,Indiana,23,16.5261,-2.67831,Fr,2006-07-05,
John Adams,The Citadel,26,23.2700,-2.95728,Sr,2002-10-15,
Blake Daberkow,Idaho St.,27,11.4300,-2.22058,Jr,2003-10-15,
Manie Joses,Davidson,22,13.0739,2.71222,Fr,2005-09-23,
Chris Mitchell,UC Santa Barbara,8,8.5000,-9.33373,Sr,2002-10-15,
Kase Wynott,Washington St.,24,13.4042,-3.17153,Fr,2005-10-15,
Tommy Gankhuyag,UT Rio Grande Valley,15,11.9368,-1.95418,Fr,2003-04-17,
AJ Levine,Penn,24,21.3417,-5.05136,Fr,2005-10-15,
Michael Van Raaphorst,Georgetown,5,2.7000,-3.82369,Fr,2005-10-15,
Julius Halaifonua,Georgetown,6,13.1833,-4.58346,Fr,2006-05-09,
Corbin Zentner,Cornell,8,5.8700,-1.36218,Jr,2003-10-15,
Jerald Colonel,Northwestern St.,29,20.4933,7.75297,Jr,2003-10-15,
Landyn Jumawan,Northwestern St.,29,20.0484,-0.898787,Jr,2003-10-15,
Antoni Vlogianitis,Marist,2,1.5500,-7.21944,Fr,2005-10-15,
Jagger Bascombe,Marist,2,1.5500,-3.64158,Fr,2005-10-15,
James Thomas,Mercyhurst,21,8.2958,-7.52099,So,2004-10-15,
Jaden Steppe,Colorado St.,7,1.7714,-2.1224,Fr,2005-10-15,
Cham Okey,SIU Edwardsville,10,5.6692,-13.9273,Fr,2005-10-15,
Jayden Cooper,South Alabama,26,13.2407,-5.49878,So,2004-10-15,
Evan Haywood,Butler,23,5.4652,-0.399133,Fr,2005-10-15,
Esyah Pippa-White,Milwaukee,24,4.1885,-7.0658,So,2004-10-15,
David Fonville,High Point,3,4.4600,-0.791133,Fr,2005-10-15,
Austin Villarreal,Milwaukee,4,1.2000,-4.83703,Fr,2005-10-15,
Jaden Smith,Fordham,10,7.4000,-2.24654,Fr,2005-10-15,
Lefteris Liotopoulos,St. John's,25,4.7640,-0.564661,Fr,2006-08-02,
Ian Jackson,North Carolina,36,23.8139,2.57194,Fr,2005-02-14,
Jaylen Colon,Alabama A&M,27,9.3700,-4.74038,Fr,2005-10-15,
Josh Ahayere,Colgate,21,7.5727,-7.57474,Fr,2005-10-15,
Blake Forrest,Colgate,20,8.9810,-5.01888,Fr,2005-10-15,
Cameron Brennan,Colgate,16,7.6000,-6.14237,Fr,2005-10-15,
Stevie Clark,Colgate,10,3.0182,-25.8075,Fr,2005-10-15,
Cory Wells,Utah Valley,30,12.5531,1.13609,Sr,2002-10-15,
Michael Griffin,West Georgia,25,11.8577,-3.61513,Sr,2002-10-15,
Blake Harper,Howard,28,34.4250,-2.24989,Fr,2005-09-30,
Amiri Stewart,Sacred Heart,31,27.2937,2.58869,Sr,2002-10-15,
Jamar Livingston,Western Carolina,8,14.2455,-13.2191,So,2004-10-15,
Fischer Brown,Western Carolina,26,12.0483,-4.45895,Fr,2005-10-15,
Josh Reed,Drexel,15,7.0062,-11.322,Fr,2005-10-15,
Kevon Vanderhorst,Drexel,22,10.1318,-5.34335,So,2004-10-15,
Carter Bryant,Arizona,37,19.3135,9.174,Fr,2005-11-26,14
Sven Djopmo,Arizona,2,0.9500,17.5825,So,2004-02-29,
Emmanuel Stephen,Arizona,8,2.9875,8.57496,Fr,2005-11-28,
Jack d'Entremont,Richmond,10,12.6182,-3.73008,Sr,2002-10-15,
Mitchell Chaffee,North Alabama,10,3.0545,-9.72777,Jr,2003-10-15,
Israel Jenrette,North Alabama,20,5.6182,-8.22827,Fr,2005-10-15,
Luke Naser,UNLV,1,0.9000,-3.54865,Fr,2005-10-15,
Robert Thibiant,Cal St. Northridge,8,2.3600,-12.8094,Jr,2003-10-15,
Sabien Cain,Cal St. Northridge,8,3.5500,-11.1338,Fr,2005-10-15,
Javan Buchanan,Boise St.,36,20.8162,4.54743,Jr,2003-09-11,
Pearson Carmichael,Boise St.,22,16.6500,2.53226,Fr,2005-10-15,
Tyler Doyle,Bellarmine,29,23.8548,-3.17182,Fr,2005-10-15,
Demarco Bethea,East Texas A&M,21,20.5143,-1.30095,Jr,2003-10-15,
Dutch Dowdell,Harvard,15,7.4250,-8.02572,Fr,2005-10-15,
Leo Byrne,Harvard,10,3.0800,-13.346,Fr,2005-10-19,
Jamari Phillips,Oregon,14,5.2643,-7.42916,Fr,2006-02-24,
Kris Mickens,Longwood,2,2.4250,-5.55255,So,2004-10-15,
Jackson Rogers,Sam Houston St.,4,2.1286,-7.13663,Fr,2005-10-15,
Dellquan Warren,Mississippi St.,26,6.2154,-2.03632,Fr,2005-05-06,
Dom Payne,Longwood,2,2.2500,-5.53199,Fr,2005-10-15,
Marland Harris,Morgan St.,12,14.0500,-5.68242,Jr,2001-06-21,
Jaden Martin,Morgan St.,23,15.4875,-5.8952,Jr,2003-10-15,
Stark Jones,Longwood,4,2.8000,-16.0883,Fr,2005-10-15,
Mekai Johnson,Saint Joseph's,14,5.6000,-2.8985,Fr,2005-10-15,
Billy Rayer,Saint Joseph's,6,1.5000,-15.9403,Fr,2005-10-15,
Steven Solano,Saint Joseph's,6,7.6167,-7.69409,Fr,2005-03-15,
Max Miller,Fordham,4,1.7200,-23.6526,Fr,2005-10-15,
Quentin McCoy,Arizona St.,6,0.8500,-10.3221,Fr,2005-10-15,
Jayden Quaintance,Arizona St.,24,29.5333,8.83929,Fr,2007-07-11,20
Cameron Jackson,UT Arlington,12,7.1714,-1.21655,Fr,2005-10-15,
Julian Steinfeld,IU Indy,6,14.7167,-3.34341,Sr,2001-04-14,
"Juan Cranford, Jr.",Saint Francis,31,27.7765,-0.512344,Fr,2005-10-15,
Zachary Royster,Loyola Chicago,9,1.8500,-16.2449,Jr,2003-10-15,
Efstratios Kalliontzis,North Carolina A&T,28,19.7828,-2.63963,Fr,2005-09-19,
Jack Turner,Loyola Chicago,11,3.0091,-9.86852,Fr,2005-10-15,
Seifeldin Hendawy,Loyola Chicago,15,4.4062,-8.79426,Fr,2005-09-05,
Eric Brown,Cal Poly,3,3.4333,2.61867,So,2004-10-15,
Anthony Gause,Charleston Southern,15,11.6706,-10.7879,Fr,2005-10-15,
Paulis Rapolis,Northern Kentucky,23,5.0840,-7.97958,Fr,2005-07-04,
Keenan Wilkins,Charleston Southern,19,17.7524,-7.85957,Fr,2005-10-15,
Melo Baines,Norfolk St.,14,6.7294,-4.26291,Fr,2005-10-15,
Sebastian Akins,Denver,29,25.6406,-3.54112,Fr,2005-10-15,
Jacob Hogarth,Iona,18,7.7167,-7.37653,Fr,2005-10-15,
Jacob Hudson,Gardner Webb,27,13.3296,-5.24202,Fr,2005-10-15,
Pharell Boyogueno,Gardner Webb,28,24.8500,0.380911,Jr,2003-10-15,
Ray Glasgow,Tennessee Tech,27,14.2966,-6.21624,Jr,2003-10-15,
Colin Hawkins,Gardner Webb,20,11.9500,-11.0597,Fr,2005-10-15,
Nate Francois,Northeastern,6,1.2833,-27.5793,Sr,2002-10-15,
Justin Menard,Iona,31,22.1806,-3.4797,Fr,2005-10-15,
Jalen Barbee,Cal St. Northridge,27,4.1897,-0.710168,Jr,2003-10-15,
Julian Bowie,Boise St.,34,13.1543,-1.33372,Fr,2005-10-15,
Brayden Maldonado,Seattle,30,23.2094,4.43692,Jr,2003-10-15,
Max Green,Holy Cross,29,34.3903,-2.16504,Fr,2005-10-15,
Dylan Fasoyiro,South Alabama,30,18.3406,0.0621543,Sr,2002-04-21,
Vic Searls,Ohio,31,18.4156,-2.2837,Sr,2002-10-15,
Ishan Sharma,Virginia,29,12.8241,-0.729881,Fr,2005-07-15,
Greg Guidinger,Loyola MD,7,2.2750,-18.606,Fr,2005-10-15,
Goap Kodi,Loyola MD,12,4.8308,-5.69406,Fr,2005-10-15,
Braeden Speed,Loyola MD,30,30.1742,-4.56061,Fr,2005-10-15,
Ryan Jolly,Winthrop,26,11.1483,-2.64094,Sr,2002-10-15,
Erik Taylor,Sam Houston St.,22,11.1440,-3.64653,Fr,2005-10-15,
Jaylen Washington,UT Rio Grande Valley,18,13.9727,-4.85371,Fr,2005-10-15,
Justin Mitchell,UT Rio Grande Valley,5,2.7750,2.97595,Fr,2005-10-15,
Sean Blake,Vermont,31,15.0515,-7.02648,Fr,2005-10-15,
RJ Nance,UT Rio Grande Valley,18,7.0591,-13.0251,Fr,2005-10-15,
Tymo Sternicki,Denver,1,26.8000,-12.0149,Fr,2006-06-10,
Josh Pickett,Denver,29,18.9344,-2.69433,Fr,2005-10-15,
Amarion Dickerson,Robert Morris,34,29.1571,5.60795,Jr,2003-01-17,
Jahseem Felton,Seton Hall,26,16.7000,-8.21421,Fr,2005-09-19,
Godswill Erheriene,Seton Hall,32,14.1750,-3.1453,Fr,2005-10-15,
Micah Davis,Eastern Kentucky,11,4.1231,-8.18179,Fr,2005-10-15,
Deng Majak,Oakland,31,4.7031,-2.08116,Jr,2003-10-15,
Malcolm Christie,Oakland,31,20.0219,-4.25599,Sr,2002-10-15,
Warren Marshall IV,Oakland,3,1.6000,-6.00227,Fr,2005-10-15,
Jack Hoth,Oakland,10,7.2200,-12.9811,Jr,2003-10-15,
Blaize Sagna,Stetson,24,18.7240,-6.94245,Sr,2002-10-15,
Sammie Yeanay,Grand Canyon,4,5.5000,-18.2873,Fr,2005-10-15,
Austin Maurer,Grand Canyon,19,4.0600,-3.72269,Fr,2005-10-15,
Styles Phipps,Grand Canyon,19,7.8350,-1.73529,Fr,2005-03-19,
Mouhamadou Dioum,Cal Baptist,7,6.0429,-6.87175,Fr,2003-01-30,
Ewan Steele,Idaho,11,6.5077,-5.41601,Fr,2005-10-15,
Drew Ardouin,San Francisco,7,1.4750,2.42183,Jr,2003-10-15,
Asa Newell,Georgia,33,29.0152,8.33578,Fr,2005-10-05,23
Michael Osei-Bonsu,Missouri St.,30,28.1750,2.68173,Jr,2003-10-15,
Nate Guerengomba,Massachusetts,28,10.8034,-5.86883,Fr,2005-10-15,
Luka Damjanac,Massachusetts,12,7.5846,-4.57942,Fr,2005-01-12,
Isaiah Lewis,Little Rock,31,31.0606,-6.36428,So,2004-10-15,
Caleb Pennyfeather,Little Rock,25,12.6308,-3.41367,Fr,2005-10-15,
Travonne Jackson,Little Rock,5,22.9167,-10.3633,Fr,2005-10-15,
Amadou Doumbia,Massachusetts,14,4.2867,-8.46318,Fr,2005-10-11,
Kameron Johnson,Arkansas St.,11,4.8417,-7.25472,Jr,2003-10-15,
Justin Johnson,Arkansas St.,15,5.8063,2.97112,Fr,2005-10-15,
Jaden Wells,UT Arlington,25,26.7778,-0.356862,Sr,2002-02-27,
Khaman Maker,St. John's,1,2.8000,-11.8557,Fr,2005-10-15,
Haris Elezovic,West Virginia,13,4.1615,-1.40843,Sr,2002-10-15,
Jonathan Powell,West Virginia,32,30.0969,1.77295,Fr,2005-07-05,
KJ Tenner,West Virginia,30,13.1833,-0.45354,Fr,2005-10-15,
Will Riley,Illinois,35,25.6971,4.63064,Fr,2006-02-10,21
Jahki Howard,Auburn,21,9.1571,4.50182,Fr,2005-10-10,
Kasparas Jakucionis,Illinois,33,31.8545,6.50605,Fr,2006-05-29,20
Morez Johnson Jr.,Illinois,30,17.6167,6.51867,Fr,2006-01-25,9
LJ Brown,UTSA,2,4.4000,-16.0177,So,2004-10-15,
Deuce Jones,La Salle,32,28.8697,-0.56868,Fr,2005-10-15,
Peter Bandelj,Cal Poly,34,25.0543,0.496362,Fr,2005-02-28,
Cayden Ward,Cal Poly,23,16.5087,-4.37685,Fr,2005-10-15,
Jaiden Feroah,Holy Cross,30,24.7438,0.658473,Jr,2003-10-15,
Cam'Ron Brown,Coppin St.,28,23.1517,-9.17067,Jr,2003-10-15,
Miles White,Lipscomb,33,13.4143,-0.0445169,Jr,2003-10-15,
Mustafo Vanjov,UT Rio Grande Valley,8,4.8556,-3.40748,Jr,2003-10-15,
Josiah Cunningham,Columbia,18,10.3800,-5.15709,Fr,2005-10-15,
Mason Ritter,Columbia,24,11.5692,0.779126,Fr,2005-10-15,
Freddie Cooper,Cal St. Fullerton,7,9.2875,-5.22074,Jr,2003-10-15,
Davis Bynum,Cal St. Fullerton,9,13.6545,0.451386,Fr,2005-10-15,
LoLo Rudolph,Cal St. Fullerton,29,21.8387,-6.62467,Fr,2005-10-15,
Darnell Evans,Georgia St.,8,9.3111,-9.20407,Sr,2002-10-15,
Aidan Driggers,Jacksonville St.,4,0.9400,-3.88686,Jr,2003-10-15,
Zavier Fitch,Wagner,26,20.8333,-1.35013,Fr,2005-10-15,
Mason Smith,Furman,14,7.7941,-9.18053,Fr,2005-10-15,
Trent Noah,Kentucky,24,11.1125,2.74152,Fr,2005-10-15,
Travis Perry,Kentucky,31,9.7387,-0.570369,Fr,2005-10-15,
Ja'Kair Sanchez,Wagner,26,18.9931,-4.14152,Sr,1999-12-15,
Jackson Greene,Idaho St.,27,17.2467,0.494966,Jr,2003-10-15,
Jayson Williams-Johnson,Oregon,7,1.8429,-12.7128,Sr,2002-10-15,
Peyton Rogers,Houston Christian,30,29.4375,1.81993,Sr,2002-10-15,
Damon Strand,Albany,14,8.0063,-3.84097,Jr,2003-10-15,
Dominic Gooden,Northern Illinois,5,11.9500,-6.46097,Jr,2003-10-15,
Bryce Howard,UC Santa Barbara,3,1.7000,8.34163,Jr,2003-10-15,
Jacob Koch,Iowa,7,2.9857,7.43243,Fr,2006-01-12,
Chris Tadjo,Iowa,11,5.0455,-9.24882,Fr,2005-05-03,
Zion Fruster,Eastern Illinois,25,29.7179,-4.8397,Jr,2003-10-15,
Bismark Nsiah,Fairleigh Dickinson,30,27.0364,1.65148,Sr,2002-10-15,
Caleb Zurliene,Campbell,30,21.0531,1.71181,Sr,2002-10-15,
Josh Meo,Coastal Carolina,30,31.7406,-3.81806,Jr,2003-10-15,
Tamarion Hoover,Jackson St.,30,13.3133,-1.88078,Fr,2005-10-15,
Dominic Pangonis,Stephen F. Austin,28,21.3000,-3.92142,Fr,2005-10-15,
Keenan Emmanuel,Stephen F. Austin,10,8.2667,-9.70746,Fr,2005-01-07,
TJ Nadeau,Detroit Mercy,31,24.2406,-5.19387,Fr,2005-10-15,
Ryan Kalambay,Detroit Mercy,31,18.2125,-0.825091,Fr,2005-10-15,
Stephen Okoro,Detroit Mercy,20,11.0571,-4.47018,Fr,2005-10-15,
Divine Ugochukwu,Miami FL,28,20.2107,-2.61048,Fr,2005-10-15,
Austin Swartz,Miami FL,29,18.5931,-2.75454,Fr,2005-09-02,
Sean Trumper,Merrimack,33,32.7545,-0.663841,Sr,2000-11-08,
Ismaila Diagne,Gonzaga,10,6.5500,4.64986,Fr,2006-12-20,
John Holbrook,North Carolina,8,1.2375,-6.75527,Fr,2005-10-15,
Russell Hawkins,North Carolina,9,1.6778,-12.6683,So,2004-10-15,
Zion Willburn,Samford,24,5.9000,-8.69523,Fr,2005-10-15,
Chris Adlam,East Texas A&M,19,10.6421,-5.28916,Fr,2005-10-15,
Jordan Brathwaite,Yale,22,8.0391,-1.92137,Fr,2005-10-15,
Isaac Celiscar,Yale,29,20.6967,3.35313,Fr,2005-10-15,
BJ Kolly,Montana St.,23,8.5917,-2.02726,Jr,2003-10-15,
Elijah Thomas,Eastern Washington,24,14.7423,-2.40299,Jr,2003-10-15,
Andrew Cook,Eastern Washington,29,29.6548,-0.504645,Sr,2002-10-15,
Marcus Johnson,Bowling Green,30,31.4375,-2.27127,Sr,2002-10-15,
L.J. Cason,Michigan,30,11.7800,0.343121,Fr,2006-06-27,
Ethan Menzies,Cal Poly,25,9.7269,-4.45874,Sr,2002-10-15,
Moses Horne,Mississippi Valley St.,16,13.0824,-13.1033,Fr,2005-10-15,
"Troy McKoy, Jr.",Chicago St.,24,19.6042,-5.24151,Fr,2005-10-15,
Matthew Robinson,Chicago St.,32,29.6500,-3.34373,Fr,2005-10-15,
Jeremiah Jenkins,Brown,21,14.6955,-5.76133,Fr,2005-10-15,
David Rochester,Brown,22,9.9000,-2.27052,Fr,2005-10-15,
Wyatt DeGraaf,Brown,11,5.8000,-5.09464,Fr,2005-10-15,
Garrett Sundra,Notre Dame,21,9.3000,2.7069,Fr,2005-10-15,
Zachariah Mianab,UT Arlington,4,1.7333,-8.14009,Fr,2005-10-15,
James Patterson,Iona,15,23.0533,-2.78803,Jr,2003-10-15,
Jaymien Aponte,Rhode Island,3,1.0750,-8.78203,Fr,2005-10-15,
Tyonne Farrell,Rhode Island,17,18.5667,-3.36097,Fr,2005-10-15,
Nic Book,USC Upstate,28,15.4871,-5.33414,Fr,2006-01-02,
Mister Dean,USC Upstate,28,23.2710,1.96871,Fr,2005-10-15,
Carmelo Adkins,USC Upstate,29,28.9875,-2.23533,Fr,2005-10-15,
Isaiah Skinner,USC Upstate,29,16.1688,-2.50156,Jr,2003-10-15,
Jeremiah Fears,Oklahoma,34,30.2029,4.76001,Fr,2006-10-14,7
D'Aundre Samuels,Houston Christian,30,16.3219,0.357134,So,2004-10-15,
Matthew Spears,Arkansas Pine Bluff,2,2.6500,-29.0582,Jr,2003-10-15,
David Mack,Northern Illinois,3,4.3333,-12.2452,Fr,2005-10-15,
Terry Copeland Jr.,Northern Illinois,1,17.4000,-9.28065,Fr,2005-10-15,
Kyle Edison,Southeastern Louisiana,28,10.7500,-2.92526,So,2004-10-15,
Jeremy Elyzee,Southeastern Louisiana,29,27.5161,1.49034,Fr,2005-10-15,
Dior Conners,Appalachian St.,29,28.1839,-0.550941,Jr,2003-10-15,
Ben Ezeagu,Appalachian St.,4,7.7000,-5.08096,Jr,2003-10-15,
Jason Clarke Jr.,Appalachian St.,9,6.2700,-5.48466,Fr,2005-10-15,
Jaiden Lawrence,Southeastern Louisiana,22,18.8783,-5.91292,Jr,2003-10-15,
Jamil Muttilib,Appalachian St.,26,9.6407,-3.83681,Jr,2003-10-15,
Mario Andrews,Alabama St.,8,15.4000,-3.18797,Jr,2003-10-15,
Jalen Keago,Alabama St.,18,11.8000,-5.70142,Jr,2003-10-15,
Micah Simpson,Alabama St.,35,17.2194,-4.0261,Jr,2003-10-15,
Taye Fields,North Alabama,33,29.1714,8.39927,Sr,2003-07-16,
Makoi Mabor,UNC Wilmington,7,5.6000,-9.90458,Fr,2005-10-15,
Javarzia Belton,Delaware St.,10,8.2400,-7.47675,Jr,2003-10-15,
Cameron McNamee,Dartmouth,25,9.0481,-4.25207,Fr,2005-10-15,
Daniel Jacobsen,Purdue,2,12.9500,2.2071,Fr,2006-04-25,
Kam O'Connor,Eastern Illinois,6,2.5000,-16.5078,So,2004-10-15,
JaJuan Nicholls,Tennessee Tech,22,18.3696,-3.50873,So,2004-10-15,
Christian Anderson,Texas Tech,35,30.5686,7.25932,Fr,2006-04-02,18
Kaden Stuckey,VMI,29,12.8394,-4.31472,Fr,2005-10-15,
Dan Gherezgher,Northern Kentucky,30,20.7187,-5.77672,Jr,2004-03-17,
Ian Smikle,Tulsa,31,20.4485,-2.06848,Fr,2005-10-15,
Alex McFadden,Delaware,3,1.4200,-9.03382,Fr,2005-10-15,
Brett Decker Jr.,Liberty,24,6.7926,-2.1126,Fr,2005-10-15,
Owen Aquino,Liberty,32,24.6114,5.14168,Jr,2003-01-08,
Macon Emory,Delaware,32,15.4941,-0.832177,Fr,2005-10-15,
Izaiah Pasha,Delaware,33,29.7676,-1.74963,Fr,2005-10-15,
Kevin Kogbara,Delaware,23,5.8500,-11.6879,Jr,2003-10-15,
Caleb Hannah,IU Indy,18,5.2286,-10.5322,So,2004-10-15,
Ron Rutland III,IU Indy,25,8.9643,-6.84971,Fr,2005-10-15,
DeSean Goode,IU Indy,27,23.0700,-0.859875,Fr,2005-10-15,
Keenan Garner,IU Indy,29,19.5281,-2.92202,Fr,2006-04-25,
Charles Dunlap,Coastal Carolina,4,1.9167,-8.24911,Jr,2003-10-15,
Ryan Mela,Providence,29,19.5172,1.39442,Fr,2004-07-19,
Zawdie Jackson,New Mexico St.,29,27.6594,1.65095,Sr,2002-10-15,
Tyler Caron,Oklahoma St.,7,2.3714,5.98336,Sr,2002-10-15,
Tyler Tanner,Vanderbilt,33,20.4091,7.09207,Fr,2006-02-01,
Eduardo Klafke,Mississippi,36,9.9556,4.67799,Fr,2005-11-11,
John Bol,Mississippi,17,4.0824,-2.13525,Fr,2004-09-20,
Tyreck Morris,Saint Peter's,20,14.5667,-9.09107,Jr,2003-10-15,
Royce Parham,Marquette,34,14.8206,2.61624,Fr,2006-07-31,
Josh Harris,North Florida,28,22.5367,-3.06899,Fr,2005-09-28,
Nojus Indrusaitis,Iowa St.,15,5.7467,-7.13218,Fr,2006-04-25,
Jayden Brown,Bryant,11,1.8231,-4.54151,Fr,2005-10-15,
Frankie Vassalluzzo,Bryant,12,1.4571,5.08842,Fr,2005-10-15,
Daniel Johnson,Hampton,29,18.3344,0.0332568,Fr,2005-10-15,
Folabomi Fayemi,Lafayette,10,4.3000,-8.13806,Fr,2005-10-15,
Lucas Orchard,Monmouth,12,2.0250,4.06073,Fr,2005-10-15,
Alex Chaikin,Lafayette,31,26.4656,-0.91124,Fr,2005-10-15,
Malik Rasul,Lafayette,25,10.6654,-5.49657,Fr,2005-10-15,
Ben Nacey,Old Dominion,13,5.2643,-4.63,Fr,2005-10-15,
Vytautas Zygas,Old Dominion,20,5.7182,-5.72981,Fr,2005-05-02,
CJ Parker,Old Dominion,2,1.7000,-25.5874,Fr,2005-10-15,
Jaden Johnson,Old Dominion,33,34.1886,-5.59333,Fr,2005-10-15,
Trey Boggess,Murray St.,2,1.0000,-4.84362,Fr,2005-10-15,
Chiang Ring,Murray St.,5,1.8167,-2.35839,Fr,2005-10-15,
Keyishon Miller,Sacred Heart,9,6.4000,-8.84147,Jr,2003-10-15,
Nyle Ralph-Beyer,Sacred Heart,31,20.8031,-3.21515,Fr,2005-10-15,
Juwan Maxey,Youngstown St.,32,26.2971,-1.10763,Jr,2003-10-15,
Cris Carroll,Youngstown St.,32,20.2441,-1.05109,Jr,2003-10-15,
Jair Horton,Mississippi Valley St.,28,19.4379,-9.41702,Jr,2003-10-15,
Darrion Salery,Mississippi Valley St.,15,9.2118,-14.6808,Jr,2003-10-15,
Blake Goodman,Eastern Illinois,5,14.7143,-8.10964,Sr,2002-10-15,
TJ Burch,Ball St.,18,9.5429,-3.51032,Fr,2005-10-15,
Lathan Sommerville,Rutgers,32,20.9469,1.12193,Fr,2005-10-15,
Trey Lewis,Florida A&M,15,12.2529,-9.97734,Jr,2003-10-15,
Kayde Dotson,New Mexico,31,6.6969,0.861987,Fr,2005-10-15,
Isaiah Jackson,Drake,32,20.1588,0.293232,Sr,2002-10-15,
Jovan Milicevic,New Mexico,33,11.8265,2.12441,Fr,2005-10-15,
Damondre McKnight,Niagara,27,8.7143,-4.43685,So,2004-10-15,
Clyde Bailey II,UNC Greensboro,4,2.2000,-4.87264,Jr,2003-10-15,
Clinton Efinda,UNC Greensboro,8,2.8200,-17.3975,So,2003-11-08,
Tim Oboh,Buffalo,28,12.3300,-8.3761,Fr,2006-03-12,
Colin O'Rourke,Toledo,1,0.7000,-11.1014,Sr,2002-10-15,
Brit Harris,USC Upstate,27,24.0567,-1.94327,Jr,2003-10-15,
Gloire Goma,Cal St. Bakersfield,10,6.3167,-4.36444,So,2003-11-27,
Cameron Clark,Cal St. Bakersfield,21,6.4696,-3.87789,Jr,2003-10-15,
Jemel Jones,Cal St. Bakersfield,31,26.8030,0.497799,Jr,2002-03-12,
Colin Darby,Cal St. Bakersfield,8,4.0200,-11.8691,Fr,2005-10-15,
Omari Hamilton,Alcorn St.,16,17.2118,-5.62468,Jr,2003-10-15,
Tycen McDaniels,Alcorn St.,22,7.4636,5.17706,So,2004-10-15,
Kameron Foman,Alcorn St.,29,9.6567,0.00847691,So,2004-10-15,
Danilo Dozic,Pepperdine,27,22.3821,-1.98959,Fr,2005-02-11,
Dovydas Butka,Pepperdine,34,29.4914,0.727984,So,2003-07-24,
Hassan Perkins,Maryland Eastern Shore,24,19.6037,-6.34681,Jr,2003-10-15,
Gavin Pendergast,LIU,4,2.7000,1.70916,Fr,2005-10-15,
Shadrak Lasu,LIU,29,28.9032,0.439704,Fr,2005-10-15,
Jalen Lee,LIU,31,17.5697,-7.06713,Fr,2005-10-15,
Garrison Keeslar,Chattanooga,36,28.7579,3.88855,Sr,2002-10-15,
Riccardo Greppi,Wisconsin,9,2.3222,6.48482,Fr,2005-12-10,
Grayson Gaddis,Montana St.,1,1.0000,-5.52006,Fr,2005-10-15,
Jeremiah Davis,Montana St.,7,7.2125,-3.95387,Jr,2003-10-15,
Tyler Behrend,Tulsa,14,4.3125,-15.562,So,2004-10-15,
Cal Conroy,Tulsa,1,2.6000,-17.9811,Fr,2005-10-15,
Taj DeGourville,San Diego St.,30,18.9419,-0.310506,Fr,2005-10-15,
Pharaoh Compton,San Diego St.,29,13.3300,1.9999,Fr,2006-06-11,
Mark Drone,Texas St.,10,25.3100,-3.79134,Jr,2003-10-15,
Austin Green,Texas St.,27,12.5724,-2.73765,Jr,2003-10-15,
Chance Beard,UAB,1,1.2000,-4.38037,Sr,2002-10-15,
KJ Thomas,UTEP,25,8.9857,-5.66923,Fr,2005-10-15,
DJ Shine,Queens,16,4.3833,-0.244751,Fr,2005-10-15,
